Restaurant Name,Type,City,Country,Rating,Reviews,Phone,Website,Google Maps URL,Priority,Opportunity Level
"Burger King","fast food restaurants","Sunderland, England",3.8,331,"TBD","TBD","https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x487e67314bdc2261:0xe70610ae33a53205!8m2!3d54.8768577!4d-1.3603345!16s%2Fg%2F11jz6cbh6m!19sChIJYSLcSzFnfkgRBTKlM64QBuc?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Golden Plaice","fish and chips","Middlesbrough, England",3.8,136,"TBD","TBD","https://www.google.com/maps/place/Golden+Plaice/data=!4m7!3m6!1s0x487eedb286ad10a3:0x857bb3e3ba5fa38c!8m2!3d54.5620956!4d-1.2053734!16s%2Fg%2F1v_nc27d!19sChIJoxCthrLtfkgRjKNfuuOze4U?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Belle Vue Fisheries","fish and chips","Middlesbrough, England",3.8,242,"TBD","TBD","https://www.google.com/maps/place/Belle+Vue+Fisheries/data=!4m7!3m6!1s0x487eecff00e6159f:0x2e626ead459a32e8!8m2!3d54.5567073!4d-1.2221591!16s%2Fg%2F1tjxf6sg!19sChIJnxXmAP_sfkgR6DKaRa1uYi4?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Luton Kebab House","kebab shops","Luton, England",3.8,173,"TBD","TBD","https://www.google.com/maps/place/Luton+Kebab+House/data=!4m7!3m6!1s0x48764845abc30797:0xbebfb389b19adf31!8m2!3d51.880775!4d-0.414589!16s%2Fg%2F1tfs0kg8!19sChIJlwfDq0VIdkgRMd-asYmzv74?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Express Kebab | Luton","kebab shops","Luton, England",3.8,97,"TBD","TBD","https://www.google.com/maps/place/Express+Kebab+%7C+Luton/data=!4m7!3m6!1s0x487649cfaac67bb1:0x65e964e8a1b46499!8m2!3d51.9015344!4d-0.3981443!16s%2Fg%2F1hc3p__hc!19sChIJsXvGqs9JdkgRmWS0oehk6WU?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"TGI Fridays - Reading Caversham Road","cafe restaurants","Reading, England",3.8,1803,"TBD","TBD","https://www.google.com/maps/place/TGI+Fridays+-+Reading+Caversham+Road/data=!4m7!3m6!1s0x48769b1a2c799d7f:0x791268ef9e319334!8m2!3d51.461281!4d-0.974502!16s%2Fg%2F1tdwpld4!19sChIJf515LBqbdkgRNJMxnu9oEnk?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Pepe's","fast food restaurants","Stoke-on-Trent, England",3.9,434,"TBD","TBD","https://www.google.com/maps/place/Pepe%27s/data=!4m7!3m6!1s0x487a69f1a25202cf:0xf29a4ab1e0aaeb0a!8m2!3d53.0240972!4d-2.1779006!16s%2Fg%2F11r34sjpj9!19sChIJzwJSovFpekgRCuuq4LFKmvI?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"German Doner Kebab (GDK)","kebab shops","Slough, England",3.9,1801,"TBD","TBD","https://www.google.com/maps/place/German+Doner+Kebab+%28GDK%29/data=!4m7!3m6!1s0x487664d7f1460abf:0x60ee2f99a9b44e59!8m2!3d51.5235522!4d-0.614992!16s%2Fg%2F11f5468s9n!19sChIJvwpG8ddkdkgRWU60qZkv7mA?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Mr Chu China Palace","chinese restaurants","Hull, England",4,280,"TBD","TBD","https://www.google.com/maps/place/Mr+Chu+China+Palace/data=!4m7!3m6!1s0x4878bfd77a6c3923:0x5ef071c2c00b02e5!8m2!3d53.7280751!4d-0.3689835!16s%2Fg%2F1yl47_fv2!19sChIJIzlsete_eEgR5QILwMJx8F4?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Naga Noodles","fast food restaurants","Sunderland, England",4,177,"TBD","TBD","https://www.google.com/maps/place/Naga+Noodles/data=!4m7!3m6!1s0x487e67f118fd7fbd:0x91173e92705146b6!8m2!3d54.9044231!4d-1.3840809!16s%2Fg%2F11rvk0npds!19sChIJvX_9GPFnfkgRtkZRcJI-F5E?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Park Plaice Fish & Chips","fish and chips","Middlesbrough, England",4,415,"TBD","TBD","https://www.google.com/maps/place/Park+Plaice+Fish+%26+Chips/data=!4m7!3m6!1s0x487eedb6de65c735:0x45a98670d4ef7e54!8m2!3d54.5671355!4d-1.1974156!16s%2Fg%2F1thl4_gj!19sChIJNcdl3rbtfkgRVH7v1HCGqUU?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"TGI Fridays - Watford Central","kebab shops","Watford, England",4,1553,"TBD","TBD","https://www.google.com/maps/place/TGI+Fridays+-+Watford+Central/data=!4m7!3m6!1s0x48766bc1dd0f93e7:0xa876816c25112e59!8m2!3d51.656026!4d-0.396685!16s%2Fg%2F11fj3d3fv4!19sChIJ55MP3cFrdkgRWS4RJWyBdqg?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"American Doner Kebab","kebab shops","Slough, England",4,182,"TBD","TBD","https://www.google.com/maps/place/American+Doner+Kebab/data=!4m7!3m6!1s0x48767b0079798a03:0x74a539cda48814e6!8m2!3d51.5093585!4d-0.5947225!16s%2Fg%2F11lw4w6l6k!19sChIJA4p5eQB7dkgR5hSIpM05pXQ?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"The Real China","chinese restaurants","Hull, England",4.1,1420,"TBD","TBD","https://www.google.com/maps/place/The+Real+China/data=!4m7!3m6!1s0x4878be2e493e36a7:0x670d3799927d650e!8m2!3d53.7453251!4d-0.3479715!16s%2Fg%2F11c1wsbt8r!19sChIJpzY-SS6-eEgRDmV9kpk3DWc?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Five Guys Burgers and Fries Coventry","fast food restaurants","Coventry, England",4.1,506,"TBD","TBD","https://www.google.com/maps/place/Five+Guys+Burgers+and+Fries+Coventry/data=!4m7!3m6!1s0x48774b26dd9ae093:0x2fa6935e0b973ebf!8m2!3d52.4080068!4d-1.5100595!16s%2Fg%2F11nh9999cq!19sChIJk-Ca3SZLd0gRvz6XC16Tpi8?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Eatigo Fast Food Coventry","fast food restaurants","Coventry, England",4.1,651,"TBD","TBD","https://www.google.com/maps/place/Eatigo+Fast+Food+Coventry/data=!4m7!3m6!1s0x48774b88ebecf4b9:0xbd398d5e1c80b17e!8m2!3d52.4289681!4d-1.499405!16s%2Fg%2F11jq8pf4n0!19sChIJufTs64hLd0gRfrGAHF6NOb0?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"SIRAJ CURRY HOUSE","curry houses","Bolton, England",4.1,257,"TBD","TBD","https://www.google.com/maps/place/SIRAJ+CURRY+HOUSE/data=!4m7!3m6!1s0x487ba7bfef23f2c7:0x1ec5611fec85c847!8m2!3d53.5620494!4d-2.4536716!16s%2Fg%2F11c7190dhw!19sChIJx_Ij77-ne0gRR8iF7B9hxR4?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"The Queen Vic - Fish & Chips","fish and chips","Blackburn, England",4.1,791,"TBD","TBD","https://www.google.com/maps/place/The+Queen+Vic+-+Fish+%26+Chips/data=!4m7!3m6!1s0x487b9fd258dec2b3:0x797668e5f34a98e7!8m2!3d53.7516622!4d-2.4889424!16s%2Fg%2F11d_70scmj!19sChIJs8LeWNKfe0gR55hK8-Vodnk?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Holloways Fish & Chips","fish and chips","Burnley, England",4.1,116,"TBD","TBD","https://www.google.com/maps/place/Holloways+Fish+%26+Chips/data=!4m7!3m6!1s0x487b912c59af1131:0xab21e02e244beee7!8m2!3d53.805464!4d-2.2287216!16s%2Fg%2F1v1vcr0_!19sChIJMRGvWSyRe0gR5-5LJC7gIas?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Kebabish","kebab shops","Watford, England",4.1,327,"TBD","TBD","https://www.google.com/maps/place/Kebabish/data=!4m7!3m6!1s0x48766abc629f9283:0x56d233c568b236a3!8m2!3d51.653937!4d-0.4066234!16s%2Fg%2F1tdkg43k!19sChIJg5KfYrxqdkgRozayaMUz0lY?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Slough Kebabs","kebab shops","Slough, England",4.1,918,"TBD","TBD","https://www.google.com/maps/place/Slough+Kebabs/data=!4m7!3m6!1s0x487664c952bc7d83:0xe782d85600f27f74!8m2!3d51.5122817!4d-0.612835!16s%2Fg%2F1hc2632xc!19sChIJg328UslkdkgRdH_yAFbYguc?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Musa's Döner (Slough)","kebab shops","Slough, England",4.1,125,"TBD","TBD","https://www.google.com/maps/place/Musa%27s+D%C3%B6ner+%28Slough%29/data=!4m7!3m6!1s0x487665939a5c31e9:0x811d6c01393dbb9!8m2!3d51.5195866!4d-0.6445653!16s%2Fg%2F11shrv7pq3!19sChIJ6TFcmpNldkgRuduTE8DWEQg?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"The Botanist Reading","cafe restaurants","Reading, England",4.1,2186,"TBD","TBD","https://www.google.com/maps/place/The+Botanist+Reading/data=!4m7!3m6!1s0x48769b1628855069:0x1e94f0df0e4ac0b3!8m2!3d51.45513!4d-0.9696349!16s%2Fg%2F11dynx8j76!19sChIJaVCFKBabdkgRs8BKDt_wlB4?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Shake Shack Oxford","cafe restaurants","Oxford, England",4.1,461,"TBD","TBD","https://www.google.com/maps/place/Shake+Shack+Oxford/data=!4m7!3m6!1s0x4876c7ec09b17a67:0xce1e9b9584b3fc3!8m2!3d51.753797!4d-1.258959!16s%2Fg%2F11vjnvvs_g!19sChIJZ3qxCezHdkgRwz9LWLnp4Qw?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"TGI Fridays - Glasgow Buchanan Street","restaurants","Glasgow, Scotland",4.1,4213,"TBD","TBD","https://www.google.com/maps/place/TGI+Fridays+-+Glasgow+Buchanan+Street/data=!4m7!3m6!1s0x4888469fb09d184d:0x57218429ec3fc61c!8m2!3d55.860521!4d-4.254375!16s%2Fg%2F1tx_5yj9!19sChIJTRidsJ9GiEgRHMY_7CmEIVc?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Kingsway Farm - Dining & Carvery","pubs with food","Dundee, Scotland",4.1,4164,"TBD","TBD","https://www.google.com/maps/place/Kingsway+Farm+-+Dining+%26+Carvery/data=!4m7!3m6!1s0x48865cd56c578985:0x8b7cd3dd59a60146!8m2!3d56.4796597!4d-3.0021445!16s%2Fg%2F11c3svzbbb!19sChIJhYlXbNVchkgRRgGmWd3TfIs?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Brig O'Don","pubs with food","Aberdeen, Scotland",4.1,1625,"TBD","TBD","https://www.google.com/maps/place/Brig+O%27Don/data=!4m7!3m6!1s0x48840e0a703abeb9:0xe66fc878b7caac7a!8m2!3d57.1739099!4d-2.0927351!16s%2Fg%2F1tdx_g61!19sChIJub46cAoOhEgReqzKt3jIb-Y?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Pump House","pubs with food","Swansea, Wales",4.1,2551,"TBD","TBD","https://www.google.com/maps/place/Pump+House/data=!4m7!3m6!1s0x486e5e7e6c00404b:0x8e1eeaff22495936!8m2!3d51.6167145!4d-3.9367949!16s%2Fg%2F1t_hydzz!19sChIJS0AAbH5ebkgRNllJIv_qHo4?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
