Business Name,Category,Market Type,City,Country,Rating,Reviews,Payment Potential,Priority,Opportunity Level,Google Maps URL,Sweet Spot Reason
"Kent Students' Union Co-op - Park Wood","pizza takeaway","PIZZA_MARKET","Canterbury, England",3.5,57,"HIGH","MEDIUM","GROWTH_STAGE","https://www.google.com/maps/place/Kent+Students%27+Union+Co-op+-+Park+Wood/data=!4m7!3m6!1s0x47decb40db6d91af:0x134cde217e6651eb!8m2!3d51.297867!4d1.059251!16s%2Fg%2F11hzm119jl!19sChIJr5Ft20DL3kcR61FmfiHeTBM?authuser=0&hl=en&rclk=1","57 reviews - Growth stage, sees value in reputation"
"Barking George","gastropubs","PUB_HOSPITALITY","Harrogate, England",3.7,51,"HIGH","MEDIUM","GROWTH_STAGE","https://www.google.com/maps/place/Barking+George/data=!4m7!3m6!1s0x4879539a8376c2db:0xaadfac3a739b2970!8m2!3d53.995188!4d-1.545107!16s%2Fg%2F11vl369cg9!19sChIJ28J2g5pTeUgRcCmbczqs36o?authuser=0&hl=en&rclk=1","51 reviews - Growth stage, sees value in reputation"
"Harry Ramsden's","fish and chips shops","TRADITIONAL_BRITISH","Bournemouth, England",3.9,5474,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Harry+Ramsden%27s/data=!4m7!3m6!1s0x4873a1cf62e52f79:0xd2ef954c3552bb76!8m2!3d50.716459!4d-1.8737935!16s%2Fg%2F1tghp12n!19sChIJeS_lYs-hc0gRdrtSNUyV79I?authuser=0&hl=en&rclk=1","5474 reviews - Too established"
"Seabird Fish & Chips","fish and chips shops","TRADITIONAL_BRITISH","Bournemouth, England",4.1,269,"MEDIUM","MEDIUM","ESTABLISHED","https://www.google.com/maps/place/Seabird+Fish+%26+Chips/data=!4m7!3m6!1s0x48739f18f159231f:0xacbc2d0f806d5f2c!8m2!3d50.7259797!4d-1.8419957!16s%2Fg%2F11s7cky7xh!19sChIJHyNZ8Rifc0gRLF9tgA8tvKw?authuser=0&hl=en&rclk=1","269 reviews - Successful but wants competitive edge"
"Ye Olde Fish and Chip Shop","fish and chips shops","TRADITIONAL_BRITISH","Southend, England",4,293,"MEDIUM","MEDIUM","ESTABLISHED","https://www.google.com/maps/place/Ye+Olde+Fish+and+Chip+Shop/data=!4m7!3m6!1s0x47d8d9bf2d5bc633:0xc7a9d18a6480063d!8m2!3d51.5329283!4d0.7221445!16s%2Fg%2F11q21pn2y5!19sChIJM8ZbLb_Z2EcRPQaAZIrRqcc?authuser=0&hl=en&rclk=1","293 reviews - Successful but wants competitive edge"
"Royal Fish & Chips","fish and chips shops","TRADITIONAL_BRITISH","Southend, England",3.6,511,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Royal+Fish+%26+Chips/data=!4m7!3m6!1s0x47d8d84a403da82d:0x7b7ac456486b76db!8m2!3d51.5352336!4d0.7138214!16s%2Fg%2F1hc535905!19sChIJLag9QErY2EcR23ZrSFbEens?authuser=0&hl=en&rclk=1","511 reviews - Too established"
"Beach Buoys","fish and chips shops","TRADITIONAL_BRITISH","Margate, England",4,268,"MEDIUM","MEDIUM","ESTABLISHED","https://www.google.com/maps/place/Beach+Buoys/data=!4m7!3m6!1s0x47d953a8b9d2657b:0x1a7ffd0a1ea9c0a5!8m2!3d51.3885476!4d1.3797498!16s%2Fg%2F11p9w55zr1!19sChIJe2XSuahT2UcRpcCpHgr9fxo?authuser=0&hl=en&rclk=1","268 reviews - Successful but wants competitive edge"
"Winking Willy's Famous Fish & Chip Shop & Cafe","fish and chip restaurants","OTHER","Scarborough, England",4,2081,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Winking+Willy%27s+Famous+Fish+%26+Chip+Shop+%26+Cafe/data=!4m7!3m6!1s0x487f47958e69306d:0x8f2523ce423c33d9!8m2!3d54.2842088!4d-0.3918255!16s%2Fg%2F1tg7rl7y!19sChIJbTBpjpVHf0gR2TM8Qs4jJY8?authuser=0&hl=en&rclk=1","2081 reviews - Too established"
"Fish Chips & More","fish and chip restaurants","OTHER","Great Yarmouth, England",3.5,169,"MEDIUM","MEDIUM","HIGH_POTENTIAL","https://www.google.com/maps/place/Fish+Chips+%26+More/data=!4m7!3m6!1s0x47da042ac8779a53:0xfb4e45ce99fc679!8m2!3d52.6031832!4d1.7367592!16s%2Fg%2F11c59vwk7h!19sChIJU5p3yCoE2kcRecaf6VzktA8?authuser=0&hl=en&rclk=1","169 reviews - Established, budget available"
"Harry Ramsden's","fish and chip restaurants","OTHER","Great Yarmouth, England",4,1333,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Harry+Ramsden%27s/data=!4m7!3m6!1s0x47da042b224e8cb7:0x9cb95e2caa85ac1b!8m2!3d52.6019054!4d1.7358824!16s%2Fg%2F1tfch0tq!19sChIJt4xOIisE2kcRG6yFqixeuZw?authuser=0&hl=en&rclk=1","1333 reviews - Too established"
