Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Surveyor Dawodu,0802 309 7559,"127 Ikorodu Rd, Fadeyi, Lagos 102215, Lagos",5,2,"https://www.google.com/maps/place/Surveyor+Dawodu/@6.5302103,3.3670963,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8db01c4045ff:0x953107f75b315330!8m2!3d6.5302103!4d3.3670963!16s%2Fg%2F11h_k3gpvv",surveyors,"Gbadaga, Lagos"
Babatunde Oyebanji and Co. Estate Surveyors and Valuers,0803 308 6802,"52 Ladipo Labinjo Cres, Surulere, Lagos 101283, Lagos",5,1,"https://www.google.com/maps/place/Babatunde+Oyebanji+and+Co.+Estate+Surveyors+and+Valuers/@6.4858953,3.3583556,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d23a68103eb:0xf12b18e12614f2f3!8m2!3d6.4858953!4d3.3583556!16s%2Fg%2F11r342s4jg",surveyors,"Surulere, Lagos"
Ajibade And Co (Estate Surveyors And Valuers),0806 488 4966,"17 Jibowu St, Yaba, Lagos 101212, Lagos",5,1,"https://www.google.com/maps/place/Ajibade+And+Co+(Estate+Surveyors+And+Valuers)/@6.5197248,3.369911,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d4255731267:0xb121eaaebac84656!8m2!3d6.5197248!4d3.369911!16s%2Fg%2F11gy9spss_",surveyors,"Surulere, Lagos"
Triple A Surveys,0813 521 2568,"48 onifade street, off Luth Rd, Mushin, Lagos 100253",4.5,2,"https://www.google.com/maps/place/Triple+A+Surveys/@6.5244755,3.354265,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d9a8d5d9a7d:0x727e8f4a042c0122!8m2!3d6.5244755!4d3.354265!16s%2Fg%2F11rh_fjt0l",surveyors,"Surulere, Lagos"
Destiny Boom & Co – A firm of estae surveyors & valuers,0803 718 7355,"Akinhanmi St, Surulere, Lagos 101241, Lagos",N/A,N/A,"https://www.google.com/maps/place/Destiny+Boom+%26+Co+%E2%80%93+A+firm+of+estae+surveyors+%26+valuers/@6.5164617,3.3630486,18z/data=!3m1!4b1!4m6!3m5!1s0x103b8c4f2d4a433d:0x278cc0fa18796710!8m2!3d6.5164617!4d3.3630486!16s%2Fg%2F11nmrsj7gf",surveyors,"Surulere, Lagos"
"Okunola,oyin and co",0708 105 1020,"109 Western Ave, Surulere, Lagos 100242, Lagos",N/A,N/A,"https://www.google.com/maps/place/Okunola,oyin+and+co/@6.514065,3.36432,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dfa61e2e7dd:0x29526d53ac549d50!8m2!3d6.514065!4d3.36432!16s%2Fg%2F11r_y4x3rk",surveyors,"Surulere, Lagos"
FASCO SURVEYS & COMPANY,0803 326 9471,"Ikate, Lagos 101241, Lagos",N/A,N/A,"https://www.google.com/maps/place/FASCO+SURVEYS+%26+COMPANY/@6.5120982,3.3483153,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c253a80685f:0x7e5e6eec25e7cc7f!8m2!3d6.5120982!4d3.3483153!16s%2Fg%2F11bxfs6ccz",surveyors,"Surulere, Lagos"
Rasmark Surveying Equip Ltd,0803 304 1202,"3 Thani Olodo street, Off Ikorodu road Jibowu Yaba, Jibowu, Lagos 101212",4,5,"https://www.google.com/maps/place/Rasmark+Surveying+Equip+Ltd/@6.5208403,3.3669678,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d48f525b549:0x7832909f6c7b204f!8m2!3d6.5208403!4d3.3669678!16s%2Fg%2F11hz6c0ccy",surveyors,"Surulere, Lagos"
Estate Surveyors and Valuers Registration Board Of,18181061,"5, Oweh Street, Beside WAEC, Off Ikorodu Road, Jibowu, P.O. Box 51876, Falomo, Ikoyi Lagos, Yaba, Lagos, Lagos, Lagos",3,2,"https://www.google.com/maps/place/Estate+Surveyors+and+Valuers+Registration+Board+Of/@6.52275,3.37037,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c52935392f5:0x551be2839e1b0140!8m2!3d6.52275!4d3.37037!16s%2Fg%2F1q5bln8k8",surveyors,"Surulere, Lagos"
Ebyseed,0806 327 7355,"10 Balogun St, Yaba, Lagos 101245, Lagos",5,2,"https://www.google.com/maps/place/Ebyseed/@6.5050893,3.3907904,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8ddef31cbe2f:0x55d2f7ede2d24ccf!8m2!3d6.5050893!4d3.3907904!16s%2Fg%2F11h_795_dd",surveyors,"Surulere, Lagos"
Engr. Sobowale And Sons Ltd,0812 780 3324,"182 Ijesha Rd, Surulere, Lagos 102215, Lagos",N/A,N/A,"https://www.google.com/maps/place/Engr.+Sobowale+And+Sons+Ltd/@6.5005626,3.3287652,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8ebcd36185d9:0xe93354409cf4f76!8m2!3d6.5005626!4d3.3287652!16s%2Fg%2F1q67q68sh",surveyors,"Surulere, Lagos"
Jaycee Global Resources Ltd,0803 422 7130,"G9PW+9FG, Idumota Church St, Akoka, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Jaycee+Global+Resources+Ltd/@6.5359486,3.3962015,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d7e376a4a53:0x2755e3329ea381e6!8m2!3d6.5359486!4d3.3962015!16s%2Fg%2F11fn2263gh",surveyors,"Shomolu, Lagos"
Olayanju Land surveyor,0802 827 9133,"18 Ojo St, Ifako-Ijaiye, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Olayanju+Land+surveyor/@6.5296522,3.384727,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d1538aa33ab:0xbe360cdb45d515e1!8m2!3d6.5296522!4d3.384727!16s%2Fg%2F11ph62_6sj",surveyors,"Shomolu, Lagos"
Olanrewaju Enterprises,0802 390 1771,"9 Kajola St, Oshodi-Isolo, Lagos 102215, Lagos",5,1,"https://www.google.com/maps/place/Olanrewaju+Enterprises/@6.5269474,3.3534539,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dcc8623ae53:0xa1ca937ad7d52458!8m2!3d6.5269474!4d3.3534539!16s%2Fg%2F11bbtkcf60",surveyors,"Shomolu, Lagos"
A-2-Z Survey Consult and Geomatics Ltd,0703 837 8520,"+2347038378520, 1b Atanda Alonge St, Kosofe, Oworonshoki 105102, Lagos",N/A,N/A,"https://www.google.com/maps/place/A-2-Z+Survey+Consult+and+Geomatics+Ltd/@6.5429782,3.4058554,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d4c9e1cea61:0x1b2bc550d6fddf8d!8m2!3d6.5429782!4d3.4058554!16s%2Fg%2F11xkws50xd",surveyors,"Shomolu, Lagos"
John Adara & Co,0802 265 9477,"7A Onike Rd, Sabo yaba, Lagos 101245, Lagos",4,1,"https://www.google.com/maps/place/John+Adara+%26+Co/@6.506974,3.379909,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8cf581babbdf:0x66b07a8bcee83b44!8m2!3d6.506974!4d3.379909!16s%2Fg%2F11cfh5f0w",surveyors,"Yaba, Lagos"
Real Royal Professionals offers,0812 817 2395,"314 Herbert Macaulay Wy, Yaba, Lagos 101245, Lagos",N/A,N/A,"https://www.google.com/maps/place/Real+Royal+Professionals+offers/@6.5066957,3.3784649,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c5f6f3af025:0x8050a2a99ace6849!8m2!3d6.5066957!4d3.3784649!16s%2Fg%2F11j1186ng4",surveyors,"Yaba, Lagos"
sunnytoplawal ventures,0813 203 6175,"HUSSEY PLAZA, 1 Hussey Rd, opposite YABATECH near WAEC, Yaba, Lagos",N/A,N/A,"https://www.google.com/maps/place/sunnytoplawal+ventures/@6.5182306,3.3713851,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d8b29d7b7c9:0x6a5c3c37c524831d!8m2!3d6.5182306!4d3.3713851!16s%2Fg%2F11rcmrptsz",surveyors,"Yaba, Lagos"
SAY Survey Limited,0802 756 4626,"Plot 2, St. Rita House, Etal Ave, off Kudirat Abiola Way, Oregun, Ikeja 100001, Lagos",5,2,"https://www.google.com/maps/place/SAY+Survey+Limited/@6.5927385,3.3679482,17z/data=!3m1!4b1!4m6!3m5!1s0x103b933e3d7412c7:0xedb227793b0521e6!8m2!3d6.5927385!4d3.3679482!16s%2Fg%2F11wf_66x57",surveyors,"Ikeja, Lagos"
Datasource Geomatics Nigeria limited,0806 804 7623,"10, Tokunbo Ali street off Toyin street ikeja Lagos Ikeja, Lagos",5,5,"https://www.google.com/maps/place/Datasource+Geomatics+Nigeria+limited/@6.5972426,3.3485861,17z/data=!3m1!4b1!4m6!3m5!1s0x103b937310dcf6bf:0xc68d464c84a084a5!8m2!3d6.5972426!4d3.3485861!16s%2Fg%2F11ssvjdrvs",surveyors,"Ikeja, Lagos"
Izunobi & Associates Estate Surveyors And Valuers,0803 779 6354,"1 Opebi Link Rd, Oregun, Ikeja 101233, Lagos",N/A,N/A,"https://www.google.com/maps/place/Izunobi+%26+Associates+Estate+Surveyors+And+Valuers/@6.5243793,3.3792057,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dd7de75705d:0x4f3e520bc0be0bfa!8m2!3d6.5243793!4d3.3792057!16s%2Fg%2F11vxjrbwhy",surveyors,"Ikeja, Lagos"
Geopacific Survey,0805 930 5757,"62 Allen Ave, Allen, Ikeja 101233, Lagos",5,10,"https://www.google.com/maps/place/Geopacific+Survey/@6.6022206,3.3521003,17z/data=!3m1!4b1!4m6!3m5!1s0x103b936a812d144d:0xb566e1c230327d7a!8m2!3d6.6022206!4d3.3521003!16s%2Fg%2F11g1c0gscb",surveyors,"Ikeja, Lagos"
Gluchub World,0816 970 7111,"Johnson St, off pedro, Bariga, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Gluchub+World/@6.5431864,3.3797277,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8de28eadb87f:0x9b9a1b5ee3f5daf0!8m2!3d6.5431864!4d3.3797277!16s%2Fg%2F11rtrkrc25",surveyors,"Bariga, Lagos"
Animashaun L.A,0806 277 5804,"Bankole St, Pedro, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Animashaun+L.A/@6.5433911,3.3760317,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d2e1905ac1d:0x50cf689c327dbf48!8m2!3d6.5433911!4d3.3760317!16s%2Fg%2F11mvnl2thw",surveyors,"Bariga, Lagos"
