Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Amos Jolaoye & Co Estate Surveyors And Valuers,0708 442 9636,"52 Diya St, Gbagada, Lagos 105102, Lagos",4.2,11,"https://www.google.com/maps/place/Amos+Jolaoye+%26+Co+Estate+Surveyors+And+Valuers/@6.5550589,3.3893318,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d6fe03ada4d:0xefc585218d09b467!8m2!3d6.5550589!4d3.3893318!16s%2Fg%2F11g7zvp0ms",surveyors,"Gbadaga, Lagos"
Borderline surveys,0811 520 8214,"3 Julius Kadiri St, Gbagada, Lagos 100001, Lagos",N/A,N/A,"https://www.google.com/maps/place/Borderline+surveys/@6.5558813,3.3919442,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d0f4d36b6a7:0x44d4c9621c8e6470!8m2!3d6.5558813!4d3.3919442!16s%2Fg%2F11l5h8w9dk",surveyors,"Gbadaga, Lagos"
Tim Shepard Group,0811 556 2547,"Plot 233A Alhaji Ganiu Street, Gbagada, Gbagada Phase II /Bariga/Apelehin 100234, Lagos",N/A,N/A,"https://www.google.com/maps/place/Tim+Shepard+Group/@6.5452586,3.3900336,17z/data=!3m1!4b1!4m6!3m5!1s0x8051a50551cb3811:0x3b57b58e4f1bdbe7!8m2!3d6.5452586!4d3.3900336!16s%2Fg%2F11yjtfl_lj",surveyors,"Gbadaga, Lagos"
Cears Associates,N/A,"24, Forolagba St, Yetunde Brown St, Gbagada, Lagos 105102",N/A,N/A,"https://www.google.com/maps/place/Cears+Associates/@6.5661713,3.3904686,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d62bd154625:0x1890a26d23f2c7a3!8m2!3d6.5661713!4d3.3904686!16s%2Fg%2F11rmnfglmk",surveyors,"Gbadaga, Lagos"
Odutayo Omotayo & Co Estate Surveyors,0704 336 6652,"5 Banjoko St, Gbagada, Lagos 102214, Lagos",N/A,N/A,"https://www.google.com/maps/place/Odutayo+Omotayo+%26+Co+Estate+Surveyors/@6.5581576,3.3495128,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d767b12cfe1:0xf3b5df21214ee5bb!8m2!3d6.5581576!4d3.3495128!16s%2Fg%2F11jjlqmkgq",surveyors,"Gbadaga, Lagos"
GW Partnership,0706 629 7793,"Local Government Area, 18 Bakare Dawodu St, Gbagada, Lagos 100234, Lagos",N/A,N/A,"https://www.google.com/maps/place/GW+Partnership/@6.5559819,3.3895651,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8df59dc1c4b3:0xb1cce36927244cac!8m2!3d6.5559819!4d3.3895651!16s%2Fg%2F11ry2c0pp3",surveyors,"Gbadaga, Lagos"
Getright Nigeria Services LTD,0806 352 1956,N/A,5,30,"https://www.google.com/maps/place/Getright+Nigeria+Services+LTD/@8.437615,6.075672,7z/data=!3m1!4b1!4m6!3m5!1s0x103b9319e8cebdb5:0x8edddc302f80271!8m2!3d8.437615!4d6.075672!16s%2Fg%2F11t5y3vmkr",surveyors,"Gbadaga, Lagos"
Geostruct Konsult,0806 071 0126,"15A Olumoroti Jaiyesimi St, Gbagada, Lagos Phase2, Lagos",4.7,3,"https://www.google.com/maps/place/Geostruct+Konsult/@6.5465534,3.383247,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d72c4014e7f:0xb90f2ad587e584a3!8m2!3d6.5465534!4d3.383247!16s%2Fg%2F11h1mhjn7v",surveyors,"Gbadaga, Lagos"
AGSL,0814 488 9705,"Oshogun Busstop, No. 18, Alapere, Lagos 100402, Lagos",5,5,"https://www.google.com/maps/place/AGSL/@6.5937395,3.4004835,17z/data=!3m1!4b1!4m6!3m5!1s0x103b93e644eb8fa7:0x443a80712a8dafd2!8m2!3d6.5937395!4d3.4004835!16s%2Fg%2F11xkm8ld9q",surveyors,"Gbadaga, Lagos"
VICANTO PROJECT SERVICES LTD,0818 863 9772,"Idiroko Bus stop, 299 Ikorodu Rd, Maryland, Lagos 101233, Lagos",5,1,"https://www.google.com/maps/place/VICANTO+PROJECT+SERVICES+LTD/@6.5654617,3.3662187,17z/data=!3m1!4b1!4m6!3m5!1s0x103b935519dfb635:0xecbf47aa691c881e!8m2!3d6.5654617!4d3.3662187!16s%2Fg%2F11rzdlm632",surveyors,"Gbadaga, Lagos"
