Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Plugzone Online - Business Management consultant in Lagos,0811 467 4033,"8 Oyewunmi Cl, Surulere, Lagos 102273, Lagos",4.9,7,"https://www.google.com/maps/place/Plugzone+Online+-+Business+Management+consultant+in+Lagos/@6.5111534,3.3533652,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8de8af3b73f7:0x598c3fdbec090993!8m2!3d6.5111534!4d3.3533652!16s%2Fg%2F11s_v7925n",consulting firms,"Surulere, Lagos"
Soul-Rich International Consultancy Limited,0902 011 1991,"13 Adeniran Ogunsanya St, Surulere, Lagos 101241, Lagos",5.0,2,"https://www.google.com/maps/place/Soul-Rich+International+Consultancy+Limited/@6.4963219,3.3579416,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c133de6f8b1:0xc943f8d74f48c5eb!8m2!3d6.4963219!4d3.3579416!16s%2Fg%2F11d_vs7mkj",consulting firms,"Surulere, Lagos"
Cita Consulting,0902 341 9830,"56 ishaga road, (near LUTH surulere L.G.A, Surulere, Lagos 100242",5.0,1,"https://www.google.com/maps/place/Cita+Consulting/@6.5148573,3.3562079,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dcce122cd77:0xd0b4d38e55a82785!8m2!3d6.5148573!4d3.3562079!16s%2Fg%2F11fjwzc13x",consulting firms,"Surulere, Lagos"
Flawless Consulting Firm Limited,N/A,"54 Adetola St, Surulere, Lagos 101241, Lagos",N/A,N/A,"https://www.google.com/maps/place/Flawless+Consulting+Firm+Limited/@6.4917211,3.3379073,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8f006ce8690d:0xe84ae519b4f33b70!8m2!3d6.4917211!4d3.3379073!16s%2Fg%2F11y42hb6gy",consulting firms,"Surulere, Lagos"
360 business consult,0802 510 1267,"8 Ayoade St, Somolu, Lagos 102216, Lagos",5.0,2,"https://www.google.com/maps/place/360+business+consult/@6.5338646,3.3826521,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8df9be9c068d:0xfee0756e6b037e09!8m2!3d6.5338646!4d3.3826521!16s%2Fg%2F11sx5ymwj9",consulting firms,"Bariga, Lagos"
Flink Consulting Firm,0809 274 8065,"91 St Finbarr's College Rd, Akoka, Lagos 102216, Lagos",5.0,5,"https://www.google.com/maps/place/Flink+Consulting+Firm/@6.5308914,3.3878345,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d5bb9213081:0x3a949d629aee09c5!8m2!3d6.5308914!4d3.3878345!16s%2Fg%2F11pvhw66gg",consulting firms,"Bariga, Lagos"
Usman Consulting firm,0802 380 2900,"3 Taiwo St, BARIGA, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Usman+Consulting+firm/@6.5380885,3.3873083,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dfaab0e007f:0xf2027f359a1da16c!8m2!3d6.5380885!4d3.3873083!16s%2Fg%2F11n33nqcxv",consulting firms,"Bariga, Lagos"
Ryva consulting,0905 306 2506,"16 Anifowoshe St, Somolu, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Ryva+consulting/@6.5365189,3.3851193,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d127e81132f:0x6e1ed0fc40b6485d!8m2!3d6.5365189!4d3.3851193!16s%2Fg%2F11khq6rs_w",consulting firms,"Bariga, Lagos"
Platform Educational Consults,0813 346 3331,"55, Olabiran Street, 39 Shodimu St, Somolu, Lagos 100231",4.9,57,"https://www.google.com/maps/place/Platform+Educational+Consults/@6.5398378,3.3745567,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dc96ec3aa05:0x7133a82a2136757!8m2!3d6.5398378!4d3.3745567!16s%2Fg%2F11q88yqlm4",consulting firms,"Bariga, Lagos"
Leke Ademo Consulting,0807 745 4779,"1 Anuoluwapo St, Akoka, Lagos 100001, Lagos",4.6,16,"https://www.google.com/maps/place/Leke+Ademo+Consulting/@6.5318349,3.3909249,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d86f1da3fa7:0xb96ea96b6cf1b77f!8m2!3d6.5318349!4d3.3909249!16s%2Fg%2F11fqtbxwxh",consulting firms,"Bariga, Lagos"
Green Environment Consults,0705 299 0276,"Buraimoh Alli St, Bariga, Lagos 102216, Lagos",5.0,1,"https://www.google.com/maps/place/Green+Environment+Consults/@6.542979,3.3872797,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8ddfb5fb3015:0x21dca9b4ff40c1d8!8m2!3d6.542979!4d3.3872797!16s%2Fg%2F11j_sqtj34",consulting firms,"Bariga, Lagos"
Green Earth Consulting Limited,0809 222 0921,"1, Rotimi Adedokun Way, General Hospital way, Gbagada By Sabo Bus Stop, Lagos Bariga, Lagos 100261",5.0,1,"https://www.google.com/maps/place/Green+Earth+Consulting+Limited/@6.5391176,3.3850266,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dd5b2bbff1f:0x178f332127f07f09!8m2!3d6.5391176!4d3.3850266!16s%2Fg%2F11fltfcs7b",consulting firms,"Bariga, Lagos"
Master Plus Consultant,0806 947 7573,"7 Bariga Rd, Ajegunle, Lagos 102216, Lagos",N/A,N/A,"https://www.google.com/maps/place/Master+Plus+Consultant/@6.5341658,3.3839493,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d46731ec63f:0x11770eecb13ab836!8m2!3d6.5341658!4d3.3839493!16s%2Fg%2F11jlhwlpvb",consulting firms,"Bariga, Lagos"
Ledams company Nigeria services,0803 367 9444,"2 Kingsway road, giwa complex, Ikoyi Lagos, Lagos",5.0,2,"https://www.google.com/maps/place/Ledams+company+Nigeria+services/@6.454874,3.43166,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf512de95699f:0x5e529cd764c9e3c5!8m2!3d6.454874!4d3.43166!16s%2Fg%2F11jjm13597",consulting firms,"Ikoyi, Lagos"
Collective Consulting Limited,0902 941 9110,"3rd Floor, Mulliner Towers, 39 Alfred Rewane Rd, Ikoyi, Lagos 101233, Lagos",4.5,2,"https://www.google.com/maps/place/Collective+Consulting+Limited/@6.451528,3.4293686,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d74a8bbfb21:0x879f16326637f81b!8m2!3d6.451528!4d3.4293686!16s%2Fg%2F11fmvb26k8",consulting firms,"Ikoyi, Lagos"
Index Consulting,18417770,"1 Engineering Close, Victoria Island, Lagos 106104, Lagos",4.0,3,"https://www.google.com/maps/place/Index+Consulting/@6.4351953,3.4264887,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf52f53fb1267:0xdfad5e28e24efd77!8m2!3d6.4351953!4d3.4264887!16s%2Fg%2F11b6rzmwl2",consulting firms,"Victoria Island, Lagos"
Intermarc Consulting,0904 454 3641,"2nd Floor, 290A Ajose Adeogun St, Victoria Island, Lagos 106104, Lagos",4.4,13,"https://www.google.com/maps/place/Intermarc+Consulting/@6.4310852,3.4377472,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf51c4a66245d:0xb2b4eb1907eac635!8m2!3d6.4310852!4d3.4377472!16s%2Fg%2F11fm_blknz",consulting firms,"Victoria Island, Lagos"
Iris Consulting Ltd,14714639,"1st Floor, PC 1 Engineering Close, Victoria Island, Lagos 106104, Lagos",4.5,2,"https://www.google.com/maps/place/Iris+Consulting+Ltd/@6.4352115,3.4264513,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8ac5530c26cb:0x3ab2e1be98e88519!8m2!3d6.4352115!4d3.4264513!16s%2Fg%2F1q5bmm9lz",consulting firms,"Victoria Island, Lagos"
Suriya international education consultants limited,0902 936 3599,"21 Ahmed Onibudo St, Victoria Island, Lagos 106104, Lagos",5.0,6,"https://www.google.com/maps/place/Suriya+international+education+consultants+limited/@6.4344669,3.4286762,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5286a60784f:0x853b8b9237d01087!8m2!3d6.4344669!4d3.4286762!16s%2Fg%2F11c75vgjc1",consulting firms,"Victoria Island, Lagos"
"Diamond Stone Business Consulting, Support Services Company",0817 882 7072,"12 Festival St, Victoria Island, Lagos 106104, Lagos",5.0,1,"https://www.google.com/maps/place/Diamond+Stone+Business+Consulting,+Support+Services+Company/@6.4351714,3.4324439,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5e56bb76105:0xc29691c72ac2e35!8m2!3d6.4351714!4d3.4324439!16s%2Fg%2F11t3110r2l",consulting firms,"Victoria Island, Lagos"
Brace International Consulting Services Limited,02349 08 2007,"236B Muri Okunola St, Victoria Island, Lagos 106104, Lagos",4.5,2,"https://www.google.com/maps/place/Brace+International+Consulting+Services+Limited/@6.4319678,3.4349638,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5238b8b3e6f:0x9e39e77a3bd9fa48!8m2!3d6.4319678!4d3.4349638!16s%2Fg%2F11k0ks2mdk",consulting firms,"Victoria Island, Lagos"
Deloitte Nigeria,19041700,"CCQH+XP5 Civic Towers, Ozumba Mbadiwe Ave, Victoria Island, Lagos 106104, Lagos",4.4,52,"https://www.google.com/maps/place/Deloitte+Nigeria/@6.4399,3.4293511,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d8fb5656edb:0xdf4b933e7c03a9e6!8m2!3d6.4399!4d3.4293511!16s%2Fg%2F1yhbl8fq9",consulting firms,"Victoria Island, Lagos"
LYD Consulting,0802 440 4444,"19 Fola Osibo Rd, Lekki Phase I, Lekki 101001, Lagos",4.9,18,"https://www.google.com/maps/place/LYD+Consulting/@6.4428702,3.4667035,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf453c6f4932f:0xdaa3142322c38e09!8m2!3d6.4428702!4d3.4667035!16s%2Fg%2F11fz5dtgtv",consulting firms,"Lekki, Lagos"
SYOJ Consulting and Management Limited,0815 780 7601,"2 Ayo Jagun St, off Abeke Animashaun Street, Lekki Phase 1, Lagos 106104, Lagos",4.0,24,"https://www.google.com/maps/place/SYOJ+Consulting+and+Management+Limited/@6.4382446,3.4628502,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5aad7b18811:0x919b2e37d3a27baf!8m2!3d6.4382446!4d3.4628502!16s%2Fg%2F11bz081b34",consulting firms,"Lekki, Lagos"
