Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Mark Calthers Consulting Limited,0806 888 8885,"14 Lanre Awolokun St, Gbagada, Lagos 102216, Lagos",4.5,33,"https://www.google.com/maps/place/Mark+Calthers+Consulting+Limited/@6.5471365,3.3831488,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dad9b1ab157:0xc1407580f9fa51a1!8m2!3d6.5471365!4d3.3831488!16s%2Fg%2F11c6w08xxk",consulting firms,"Gbadaga, Lagos"
S & F Consulting Firm Limited,N/A,"42 Ayodele Oke-Owo Rd, Gbagada, Lagos 105102, Lagos",N/A,N/A,"https://www.google.com/maps/place/S+%26+F+Consulting+Firm+Limited/@6.558877,3.385995,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d82e4e34f3f:0x4fecab7a2b74c432!8m2!3d6.558877!4d3.385995!16s%2Fg%2F11jw4p61gj",consulting firms,"Gbadaga, Lagos"
Basilco Consults,0816 139 6392,"4 Fred Omojole Cres, Gbagada, Lagos 100235, Lagos",5.0,2,"https://www.google.com/maps/place/Basilco+Consults/@6.5574837,3.3890924,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d793ecc5b1b:0xdd9e3203a0463b39!8m2!3d6.5574837!4d3.3890924!16s%2Fg%2F11nckfdb6h",consulting firms,"Gbadaga, Lagos"
Morbay Consultancy And Engineering Limited,0708 748 6058,"19 Alh. Opeodu St, Gbagada, Lagos 100242, Lagos",5.0,1,"https://www.google.com/maps/place/Morbay+Consultancy+And+Engineering+Limited/@6.5542041,3.3908454,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d3576443d07:0xd892a134353408ca!8m2!3d6.5542041!4d3.3908454!16s%2Fg%2F11jkpqt539",consulting firms,"Gbadaga, Lagos"
Snellman Technologies Limited,0803 350 8267,"14 Oladunni St, Gbagada, Lagos 100242, Lagos",5.0,1,"https://www.google.com/maps/place/Snellman+Technologies+Limited/@6.5632,3.3900169,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d8b3063d24f:0xde41fc799d2f6c97!8m2!3d6.5632!4d3.3900169!16s%2Fg%2F11jk930dhb",consulting firms,"Gbadaga, Lagos"
MasterMindsHRSG Consulting,12957571,"Gbagada, 22 Adeola Raji Ave, Ifako-Ijaiye, Lagos 100234",4.6,8,"https://www.google.com/maps/place/MasterMindsHRSG+Consulting/@6.550897,3.3868015,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d73d614d8d3:0x1eb362faacbdfcaf!8m2!3d6.550897!4d3.3868015!16s%2Fg%2F11btytpy36",consulting firms,"Gbadaga, Lagos"
Kinglivingstone Consulting,0810 344 7053,"28 Okanlawon Ajayi St, Surulere, Lagos 101241, Lagos",4.9,13,"https://www.google.com/maps/place/Kinglivingstone+Consulting/@6.502804,3.3485144,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d6dd6be876d:0x3aaf01eaeb75dbc4!8m2!3d6.502804!4d3.3485144!16s%2Fg%2F11hv7mlf1t",consulting firms,"Surulere, Lagos"
Micheal Stevens Consulting,0803 383 7987,"22B Rafiu Shittu St, Oke Ira, Lagos 101241, Lagos",3.9,17,"https://www.google.com/maps/place/Micheal+Stevens+Consulting/@6.4927158,3.3642447,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c6e01a2b667:0x8a3980e675c1ff9c!8m2!3d6.4927158!4d3.3642447!16s%2Fg%2F11gbf5g28q",consulting firms,"Surulere, Lagos"
Zenith Consultants,0803 444 5576,"2 Lawanson Rd, Jubril Martins St, Surulere, Lagos 101241, Lagos",5.0,1,"https://www.google.com/maps/place/Zenith+Consultants/@6.512101,3.3485859,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c2533cfe58b:0x8c419bae1d5484c!8m2!3d6.512101!4d3.3485859!16s%2Fg%2F1q67ps6d7",consulting firms,"Surulere, Lagos"
ALPSEDGE CONSULTING,0704 626 9188,"13 Yesufu Sanusi St, Surulere, Lagos 101241, Lagos",4.5,4,"https://www.google.com/maps/place/ALPSEDGE+CONSULTING/@6.497508,3.358811,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c135392dabd:0x27953c80bfe22a95!8m2!3d6.497508!4d3.358811!16s%2Fg%2F11d_yvj9f0",consulting firms,"Surulere, Lagos"
