Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Kings Hotel and Bar,0901 143 4406,"72 olateju street,odi-olowo mushin,lagos state mushin local goverment lagos, Lagos",4,272,"https://www.google.com/maps/place/Kings+Hotel+and+Bar/@6.5358292,3.3589002,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8db9af0c57e1:0x2388065ce3788847!5m2!4m1!1i2!8m2!3d6.5358292!4d3.3589002!16s%2Fg%2F11h7s2qkhb",hotels,"Shomolu, Lagos"
Million Dollars Imperial Hotel,0816 006 3805,"5 Gbala St, Gbagada, Lagos 105102, Lagos",3.3,219,"https://www.google.com/maps/place/Million+Dollars+Imperial+Hotel/@6.5579604,3.3853826,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d7a3924fff5:0xaeb722d6152f6fe!5m2!4m1!1i2!8m2!3d6.5579604!4d3.3853826!16s%2Fg%2F11b6_dj98m",hotels,"Shomolu, Lagos"
Royal Hills Hotel & Suites,0904 333 4445,"38 Anu Oluwapo St, Somolu, Lagos 102216, Lagos",3.9,180,"https://www.google.com/maps/place/Royal+Hills+Hotel+%26+Suites/@6.5309808,3.3768948,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d1000000001:0xc1c7e71f95eb8448!5m2!4m1!1i2!8m2!3d6.5309808!4d3.3768948!16s%2Fg%2F11dfgk8ysh",hotels,"Shomolu, Lagos"
Deke Hotel,0805 513 5939,"79Karimu, Karimu Ikotun Cl, Lagos",3.2,411,"https://www.google.com/maps/place/Deke+Hotel/@6.5046381,3.3814561,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8cf5272560c1:0x310586d93e36f258!5m2!4m1!1i2!8m2!3d6.5046381!4d3.3814561!16s%2Fg%2F11bz0d5v52",hotels,"Shomolu, Lagos"
De Bluezzzz Hotel Ltd.,0813 799 2865,"12 Anu Oluwapo St, Igbobi, Lagos 102216, Lagos",3.7,239,"https://www.google.com/maps/place/De+Bluezzzz+Hotel+Ltd./@6.5330703,3.3770247,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8da85a0b7cfb:0x3b090dd8008fdf44!5m2!4m1!1i2!8m2!3d6.5330703!4d3.3770247!16s%2Fg%2F1q6j5sg2f",hotels,"Shomolu, Lagos"
A2 Suites,N/A,"4 Ogunmokun St, Mushin, Lagos 102215, Lagos",4.3,28,"https://www.google.com/maps/place/A2+Suites/@6.5283836,3.358165,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8dca6ca8d4e1:0xdde4584b96cbeabe!5m2!4m1!1i2!8m2!3d6.5283836!4d3.358165!16s%2Fg%2F11pkb7m5p1",hotels,"Shomolu, Lagos"
Efex Hotel,0816 402 6902,"Murtala Muhammed Way, Yaba, Lagos 101245, Lagos",3.2,156,"https://www.google.com/maps/place/Efex+Hotel/@6.5135634,3.3695383,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8c5aa8f589a1:0x6da4525dc211dc5d!5m2!4m1!1i2!8m2!3d6.5135634!4d3.3695383!16s%2Fg%2F11d_wx0387",hotels,"Shomolu, Lagos"
Starexx Luxury Apartment,0912 146 2364,"House 10, Ora Ekpen Crescent, Ifako Gbagada Starexx Anex) House 21, Ora Ekpen Crescent, Ifako Gbagada Kosofe, Local, government area, Lagos 100234, Lagos",4.4,21,"https://www.google.com/maps/place/Starexx+Luxury+Apartment/@6.5521264,3.3902939,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d801cbd3899:0x788cabab3194a50c!5m2!4m1!1i2!8m2!3d6.5521264!4d3.3902939!16s%2Fg%2F11rgzyv7cj",hotels,"Shomolu, Lagos"
Ornament Hotel,N/A,"G9FG+RR5, Bailey St, Igbobi, Lagos 100001, Lagos",4.1,21,"https://www.google.com/maps/place/Ornament+Hotel/@6.5245213,3.3771106,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8daad3aa8afb:0x2da4d565eca29a46!5m2!4m1!1i2!8m2!3d6.5245213!4d3.3771106!16s%2Fg%2F11df1tnmnb",hotels,"Shomolu, Lagos"
Ivory Exclusive Hotel and Suites,0904 402 7012,"Plot B General Hospital Rd, Gbagada, Lagos 105102, Lagos",3.9,97,"https://www.google.com/maps/place/Ivory+Exclusive+Hotel+and+Suites/@6.5505655,3.3900446,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d9613e8f259:0xe45d9b8e0f6b481c!5m2!4m1!1i2!8m2!3d6.5505655!4d3.3900446!16s%2Fg%2F11lm693qmb",hotels,"Shomolu, Lagos"
