Business Name,Rating,Reviews,Phone,Address,Website,Emails,Verified Emails,Google Maps URL,Opportunity Level,Potential Value
"The Wilderness",1,453,"","","","","","https://www.google.com/maps/place/The+Wilderness/data=!4m7!3m6!1s0x4870bc89a0dbc8cf:0xddf2d5c01f7e207f!8m2!3d52.487239!4d-1.910561!16s%2Fg%2F11cnwjnyc0!19sChIJz8jboIm8cEgRfyB-H8DV8t0?authuser=0&hl=en&rclk=1","CRITICAL","VERY HIGH"
"Tru Spice Caribbean Kitchen3.9(275)Caribbean",3.9,275,"","","","","","","MILD","MILD"
