Business Name,City,Rating,Review Count,Opportunity Level,Address,Phone,Business Type,Google Maps URL
"Britannia Inn Glasgow","Glasgow",3,452,"MODERATE","10 Elmbank Gardens    Lighter continental breakfastsYou wont go hungry at our Glasgow hotel","","","https://www.google.co.uk/maps/place/Britannia+Inn+Glasgow/data=!4m7!3m6!1s0x48884428f849d331:0xb73db437cc4d42f4!8m2!3d55.864856!4d-4.269848!16s%2Fg%2F11t72bp5qy!19sChIJMdNJ-ChEiEgR9EJNzDe0Pbc?authuser=0&hl=en&rclk=1"
"Flames","Manchester",3.4,211,"MILD","558 Hyde RdOpen","","","https://www.google.co.uk/maps/place/Flames/data=!4m7!3m6!1s0x487bb159bba1264f:0xa1e9d9cd27d044ca!8m2!3d53.4616322!4d-2.1764988!16s%2Fg%2F1tgb_9ql!19sChIJTyahu1mxe0gRykTQJ83Z6aE?authuser=0&hl=en&rclk=1"
"Turquoise, Turkish Restaurant in Glasgow","Glasgow",3.7,216,"MILD","Turquoise, Turkish Restaurant in Glasgow  3","","","https://www.google.co.uk/maps/place/Turquoise,+Turkish+Restaurant+in+Glasgow/data=!4m7!3m6!1s0x4888469c11676709:0x79eeb678313a6d7d!8m2!3d55.8576885!4d-4.2594978!16s%2Fg%2F1tr8l4fy!19sChIJCWdnEZxGiEgRfW06MXi27nk?authuser=0&hl=en&rclk=1"
"Perfect Chicken","London",3.7,106,"MILD","259 Old Kent RdCloses soon","","","https://www.google.co.uk/maps/place/Perfect+Chicken/data=!4m7!3m6!1s0x4876036920da01b5:0x2ffec175edded01c!8m2!3d51.4895343!4d-0.0788603!16s%2Fg%2F1vhkk0dp!19sChIJtQHaIGkDdkgRHNDe7XXB_i8?authuser=0&hl=en&rclk=1"
"Peppers City Takeout - Liverpool","Liverpool",4,167,"MILD","10Takeout restaurant","","","https://www.google.co.uk/maps/place/Peppers+City+Takeout+-+Liverpool/data=!4m7!3m6!1s0x487b21b0094b1721:0x739e7e9361bd96d4!8m2!3d53.4041069!4d-2.9755344!16s%2Fg%2F11rk8gc7vm!19sChIJIRdLCbAhe0gR1Ja9YZN-nnM?authuser=0&hl=en&rclk=1"
"Barber Barber Liverpool","Liverpool",4,226,"MILD","110 College LnClosed","","","https://www.google.co.uk/maps/place/Barber+Barber+Liverpool/data=!4m7!3m6!1s0x487b212589dd299f:0xd323f8121ad7d30a!8m2!3d53.4036604!4d-2.9841863!16s%2Fg%2F11b5z0hgtl!19sChIJnyndiSUhe0gRCtPXGhL4I9M?authuser=0&hl=en&rclk=1"
